$outgn
 [1] "GEN9"    "GEN116"  "GEN189"  "GEN238"  "GEN294"  "GEN327"  "GEN328" 
 [8] "GEN372"  "GEN385"  "GEN389"  "GEN461"  "GEN632"  "GEN645"  "GEN697" 
[15] "GEN732"  "GEN751"  "GEN767"  "GEN804"  "GEN893"  "GEN915"  "GEN929" 
[22] "GEN995"  "GEN1067" "GEN1078" "GEN1207" "GEN1237" "GEN1242"

$outsp
character(0)

$outcell
 Species                            Genes    
 "Dickeya_solani..RNS050512ADs"     "GEN231" 
 "Dickeya_dianthicola..IPO980Dd"    "GEN232" 
 "Dickeya_zeae..NCPPB3532Dz"        "GEN232" 
 "Dickeya_dianthicola..GBBC2039Dd"  "GEN234" 
 "Dickeya_solani..RNS070773BDs"     "GEN235" 
 "Dickeya_sp..2B12Ds"               "GEN237" 
 "Dickeya_chrysanthem..NCPPB3533Dc" "GEN239" 
 "Dickeya_dianthicola..GBBC2039Dd"  "GEN239" 
 "Dickeya_sp..NCPPB3274Ds"          "GEN239" 
 "Cedecea_neteri..ND14bCn"          "GEN244" 
 "Dickeya_zeae..NCPPB3532Dz"        "GEN245" 
 "Dickeya_aquatica..localstrainDa"  "GEN246" 
 "Dickeya_chrysanthem..M074Dc"      "GEN246" 
 "Dickeya_zeae..NCPPB3532Dz"        "GEN247" 
 "Dickeya_dadantii..3937Dd"         "GEN247" 
 "Dickeya_dadantii..NCPPB3537Dd"    "GEN247" 
 "Dickeya_solani..M005Ds"           "GEN248" 
 "Dickeya_solani..MK16Ds"           "GEN249" 
 "Dickeya_solani..RNS070773BDs"     "GEN249" 
 "Dickeya_aquatica..localstrainDa"  "GEN251" 
 "Dickeya_sp..B16Ds"                "GEN251" 
 "Dickeya_solani..Ds0432-1Ds"       "GEN252" 
 "Dickeya_solani..IFB0099Ds"        "GEN252" 
 "Dickeya_zeae..ZJU1202Dz"          "GEN253" 
 "Dickeya_sp..MK7Ds"                "GEN253" 
 "Dickeya_zeae..DZ2QDz"             "GEN253" 
