$outgn
character(0)

$outsp
character(0)

$outcell
 Species                            Genes    
 "Dickeya_dadantii..NCPPB3537Dd"    "GEN229" 
 "Dickeya_sp..2B12Ds"               "GEN229" 
 "Dickeya_sp..S1Ds"                 "GEN229" 
 "Serratia_sp..ATCC39006Ss"         "GEN231" 
 "Dickeya_paradisiaca..NCPPB2511Dp" "GEN232" 
 "Dickeya_dianthicola..IPO980Dd"    "GEN232" 
 "Dickeya_zeae..Ech586Dz"           "GEN233" 
 "Dickeya_dadantii..3937Dd"         "GEN234" 
 "Dickeya_zeae..DZ2QDz"             "GEN234" 
 "Dickeya_dianthicola..GBBC2039Dd"  "GEN234" 
 "Dickeya_solani..RNS070773BDs"     "GEN235" 
 "Dickeya_sp..NCPPB3274Ds"          "GEN239" 
 "Dickeya_dianthicola..IPO980Dd"    "GEN241" 
 "Dickeya_zeae..CSLRW192Dz"         "GEN242" 
 "Cedecea_neteri..ND14bCn"          "GEN244" 
 "Dickeya_aquatica..localstrainDa"  "GEN246" 
 "Dickeya_chrysanthem..M074Dc"      "GEN246" 
 "Dickeya_solani..MK16Ds"           "GEN249" 
 "Dickeya_sp..CSLRW240Ds"           "GEN249" 
 "Dickeya_zeae..EC1Dz"              "GEN251" 
 "Dickeya_aquatica..localstrainDa"  "GEN251" 
 "Dickeya_sp..B16Ds"                "GEN251" 
 "Dickeya_solani..Ds0432-1Ds"       "GEN252" 
 "Dickeya_solani..IFB0099Ds"        "GEN252" 
 "Dickeya_zeae..ZJU1202Dz"          "GEN253" 
 "Dickeya_zeae..CSLRW192Dz"         "GEN253" 
 "Dickeya_sp..B16Ds"                "GEN253" 
 "Dickeya_zeae..NCPPB3531Dz"        "GEN253" 
 "Dickeya_dadantii..3937Dd"         "GEN258" 
 "Dickeya_solani..RNS08082331ADs"   "GEN259" 
 "Dickeya_sp..S1Ds"                 "GEN259" 
 "Dickeya_dadantii..NCPPB3537Dd"    "GEN260" 
 "Dickeya_zeae..CSLRW192Dz"         "GEN260" 
 "Dickeya_zeae..NCPPB3531Dz"        "GEN260" 
 "Dickeya_chrysanthem..NCPPB516Dc"  "GEN261" 
 "Dickeya_aquatica..DW0440Da"       "GEN262" 
 "Dickeya_solani..PPO9019Ds"        "GEN262" 
